gene_name,display_name,biotype,keep
Rad21l,Rad21l,Chromatin_binding,TRUE
Rad51,Rad51,Chromatin_binding,TRUE
Rag2,Rag2,Chromatin_binding,TRUE
Rbl1,Rbl1,Chromatin_binding,TRUE
Rbl2,Rbl2,Chromatin_binding,TRUE
Rbmx,Rbmx,Chromatin_binding,TRUE
Rbmxl1,Rbmxl1,Chromatin_binding,TRUE
Rcc1,Rcc1,Chromatin_binding,TRUE
Rcor1,Rcor1,Chromatin_binding,TRUE
Rec8,Rec8,Chromatin_binding,TRUE
Repin1,Repin1,Chromatin_binding,TRUE
Rere,Rere,Chromatin_binding,TRUE
Rfpl4b,Rfpl4b,Chromatin_binding,TRUE
Ring1,Ring1,Chromatin_binding,TRUE
Rit2,Rit2,Chromatin_binding,TRUE
Rnf2,Rnf2,Chromatin_binding,TRUE
Rnf4,Rnf4,Chromatin_binding,TRUE
Rnf8,Rnf8,Chromatin_binding,TRUE
Rnf20,Rnf20,Chromatin_binding,TRUE
Rnf168,Rnf168,Chromatin_binding,TRUE
Rnf169,Rnf169,Chromatin_binding,TRUE
Rpa1,Rpa1,Chromatin_binding,TRUE
Ruvbl2,Ruvbl2,Chromatin_binding,TRUE
Safb,Safb,Chromatin_binding,TRUE
Samd1,Samd1,Chromatin_binding,TRUE
Samd7,Samd7,Chromatin_binding,TRUE
Samd11,Samd11,Chromatin_binding,TRUE
Samd13,Samd13,Chromatin_binding,TRUE
Sap30l,Sap30l,Chromatin_binding,TRUE
Sarnp,Sarnp,Chromatin_binding,TRUE
Sbno1,Sbno1,Chromatin_binding,TRUE
Sbno2,Sbno2,Chromatin_binding,TRUE
Scmh1,Scmh1,Chromatin_binding,TRUE
Scml2,Scml2,Chromatin_binding,TRUE
Scml4,Scml4,Chromatin_binding,TRUE
Set,Set,Chromatin_binding,TRUE
Sf3b1,Sf3b1,Chromatin_binding,TRUE
Sfmbt1,Sfmbt1,Chromatin_binding,TRUE
Sfmbt2,Sfmbt2,Chromatin_binding,TRUE
Sfpq,Sfpq,Chromatin_binding,TRUE
Shmt2,Shmt2,Chromatin_binding,TRUE
Sin3a,Sin3a,Chromatin_binding,TRUE
Sin3b,Sin3b,Chromatin_binding,TRUE
Slc30a9,Slc30a9,Chromatin_binding,TRUE
Smad6,Smad6,Chromatin_binding,TRUE
Smarca1,Smarca1,Chromatin_binding,TRUE
Smarca2,Smarca2,Chromatin_binding,TRUE
Smarca4,Smarca4,Chromatin_binding,TRUE
Smarcad1,Smarcad1,Chromatin_binding,TRUE
Smarcc1,Smarcc1,Chromatin_binding,TRUE
Smarcc2,Smarcc2,Chromatin_binding,TRUE
Smarcd1,Smarcd1,Chromatin_binding,TRUE
Smarcd3,Smarcd3,Chromatin_binding,TRUE
Smc1a,Smc1a,Chromatin_binding,TRUE
Smc2,Smc2,Chromatin_binding,TRUE
Smc3,Smc3,Chromatin_binding,TRUE
Smc4,Smc4,Chromatin_binding,TRUE
Ssbp1,Ssbp1,Chromatin_binding,TRUE
Ssrp1,Ssrp1,Chromatin_binding,TRUE
Stag1,Stag1,Chromatin_binding,TRUE
Stag2,Stag2,Chromatin_binding,TRUE
Stag3,Stag3,Chromatin_binding,TRUE
Stpg4,Stpg4,Chromatin_binding,TRUE
Supt5,Supt5,Chromatin_binding,TRUE
Supt6,Supt6,Chromatin_binding,TRUE
Supt16,Supt16,Chromatin_binding,TRUE
Suz12,Suz12,Chromatin_binding,TRUE
Svep1,Svep1,Chromatin_binding,TRUE
Tada2b,Tada2b,Chromatin_binding,TRUE
Tbl1x,Tbl1x,Chromatin_binding,TRUE
Tcf7l1,Tcf7l1,Chromatin_binding,TRUE
Tdrd3,Tdrd3,Chromatin_binding,TRUE
Ticrr,Ticrr,Chromatin_binding,TRUE
Tle1,Tle1,Chromatin_binding,TRUE
Tnrc18,Tnrc18,Chromatin_binding,TRUE
Top1,Top1,Chromatin_binding,TRUE
Top2a,Top2a,Chromatin_binding,TRUE
Top2b,Top2b,Chromatin_binding,TRUE
Tox,Tox,Chromatin_binding,TRUE
Tox2,Tox2,Chromatin_binding,TRUE
Tox3,Tox3,Chromatin_binding,TRUE
Tox4,Tox4,Chromatin_binding,TRUE
Tpr,Tpr,Chromatin_binding,TRUE
Trim24,Trim24,Chromatin_binding,TRUE
Trim28,Trim28,Chromatin_binding,TRUE
Trim33,Trim33,Chromatin_binding,TRUE
Trim37,Trim37,Chromatin_binding,TRUE
Trim66,Trim66,Chromatin_binding,TRUE
Tshz3,Tshz3,Chromatin_binding,TRUE
Tspyl1,Tspyl1,Chromatin_binding,TRUE
Tspyl2,Tspyl2,Chromatin_binding,TRUE
Tspyl3,Tspyl3,Chromatin_binding,TRUE
Tspyl4,Tspyl4,Chromatin_binding,TRUE
Tspyl5,Tspyl5,Chromatin_binding,TRUE
Ttc5,Ttc5,Chromatin_binding,TRUE
Ttc21b,Ttc21b,Chromatin_binding,TRUE
Ttc39aos1,Ttc39aos1,Chromatin_binding,TRUE
Twist2,Twist2,Chromatin_binding,TRUE
Ube2t,Ube2t,Chromatin_binding,TRUE
Upf1,Upf1,Chromatin_binding,TRUE
Uri1,Uri1,Chromatin_binding,TRUE
Usp3,Usp3,Chromatin_binding,TRUE
Usp51,Usp51,Chromatin_binding,TRUE
Uty,Uty,Chromatin_binding,TRUE
Uxt,Uxt,Chromatin_binding,TRUE
Wac,Wac,Chromatin_binding,TRUE
Wbp2,Wbp2,Chromatin_binding,TRUE
Wbp2nl,Wbp2nl,Chromatin_binding,TRUE
Wdhd1,Wdhd1,Chromatin_binding,TRUE
Wdr13,Wdr13,Chromatin_binding,TRUE
Wdr82,Wdr82,Chromatin_binding,TRUE
Wrn,Wrn,Chromatin_binding,TRUE
Yap1,Yap1,Chromatin_binding,TRUE
Ybx1,Ybx1,Chromatin_binding,TRUE
Ybx2,Ybx2,Chromatin_binding,TRUE
Zc3h4,Zc3h4,Chromatin_binding,TRUE
Zc3h12a,Zc3h12a,Chromatin_binding,TRUE
Zfp110,Zfp110,Chromatin_binding,TRUE
Zfp125,Zfp125,Chromatin_binding,TRUE
Zfp276,Zfp276,Chromatin_binding,TRUE
Zfp369,Zfp369,Chromatin_binding,TRUE
Zfp609,Zfp609,Chromatin_binding,TRUE
Zfx,Zfx,Chromatin_binding,TRUE
Zic2,Zic2,Chromatin_binding,TRUE
Zkscan3,Zkscan3,Chromatin_binding,TRUE
Znhit1,Znhit1,Chromatin_binding,TRUE
Cenpa,Cenpa,Chromatin_organization,TRUE
H2al1a,H2al1a,Chromatin_organization,TRUE
H2al1c,H2al1c,Chromatin_organization,TRUE
H2al1d,H2al1d,Chromatin_organization,TRUE
H2al1f,H2al1f,Chromatin_organization,TRUE
H2al1g,H2al1g,Chromatin_organization,TRUE
H2al1h,H2al1h,Chromatin_organization,TRUE
H2al1i,H2al1i,Chromatin_organization,TRUE
0610010K14Rik,0610010K14Rik,Chromatin_organization,TRUE
4930402K13Rik,4930402K13Rik,Chromatin_organization,TRUE
4930480E11Rik,4930480E11Rik,Chromatin_organization,TRUE
a,a,Chromatin_organization,TRUE
Abraxas1,Abraxas1,Chromatin_organization,TRUE
Actb,Actb,Chromatin_organization,TRUE
Actr5,Actr5,Chromatin_organization,TRUE
Actr8,Actr8,Chromatin_organization,TRUE
Aicda,Aicda,Chromatin_organization,TRUE
Airn,Airn,Chromatin_organization,TRUE
Alkbh4,Alkbh4,Chromatin_organization,TRUE
Anp32b,Anp32b,Chromatin_organization,TRUE
Anp32e,Anp32e,Chromatin_organization,TRUE
Aplf,Aplf,Chromatin_organization,TRUE
Apobec1,Apobec1,Chromatin_organization,TRUE
Arid2,Arid2,Chromatin_organization,TRUE
Arid4a,Arid4a,Chromatin_organization,TRUE
Arid4b,Arid4b,Chromatin_organization,TRUE
Asf1b,Asf1b,Chromatin_organization,TRUE
Atf7ip2,Atf7ip2,Chromatin_organization,TRUE
Atxn7l3,Atxn7l3,Chromatin_organization,TRUE
Axin1,Axin1,Chromatin_organization,TRUE
Babam1,Babam1,Chromatin_organization,TRUE
Babam2,Babam2,Chromatin_organization,TRUE
Bag6,Bag6,Chromatin_organization,TRUE
Banf1,Banf1,Chromatin_organization,TRUE
Banp,Banp,Chromatin_organization,TRUE
Baz1a,Baz1a,Chromatin_organization,TRUE
Baz1b,Baz1b,Chromatin_organization,TRUE
Baz2a,Baz2a,Chromatin_organization,TRUE
Bcl7a,Bcl7a,Chromatin_organization,TRUE
Bcl7b,Bcl7b,Chromatin_organization,TRUE
Bcl7c,Bcl7c,Chromatin_organization,TRUE
Bcor,Bcor,Chromatin_organization,TRUE
Bcorl1,Bcorl1,Chromatin_organization,TRUE
Bend3,Bend3,Chromatin_organization,TRUE
Bicra,Bicra,Chromatin_organization,TRUE
Bicral,Bicral,Chromatin_organization,TRUE
Bptf,Bptf,Chromatin_organization,TRUE
Brcc3,Brcc3,Chromatin_organization,TRUE
Brd1,Brd1,Chromatin_organization,TRUE
Brd7,Brd7,Chromatin_organization,TRUE
Brd8,Brd8,Chromatin_organization,TRUE
Brd9,Brd9,Chromatin_organization,TRUE
Brdt,Brdt,Chromatin_organization,TRUE
Brpf1,Brpf1,Chromatin_organization,TRUE
Brpf3,Brpf3,Chromatin_organization,TRUE
Bud23,Bud23,Chromatin_organization,TRUE
Cbx6,Cbx6,Chromatin_organization,TRUE
Cdan1,Cdan1,Chromatin_organization,TRUE
Cdk2,Cdk2,Chromatin_organization,TRUE
Cdkn1c,Cdkn1c,Chromatin_organization,TRUE
Cecr2,Cecr2,Chromatin_organization,TRUE
Cenpp,Cenpp,Chromatin_organization,TRUE
Cenpv,Cenpv,Chromatin_organization,TRUE
Cfdp1,Cfdp1,Chromatin_organization,TRUE
Cggbp1,Cggbp1,Chromatin_organization,TRUE
Chaer1,Chaer1,Chromatin_organization,TRUE
Chaf1a,Chaf1a,Chromatin_organization,TRUE
Chaf1b,Chaf1b,Chromatin_organization,TRUE
Chd9,Chd9,Chromatin_organization,TRUE
Chek1,Chek1,Chromatin_organization,TRUE
Chrac1,Chrac1,Chromatin_organization,TRUE
Coprs,Coprs,Chromatin_organization,TRUE
Ctr9,Ctr9,Chromatin_organization,TRUE
Dapk3,Dapk3,Chromatin_organization,TRUE
Daxx,Daxx,Chromatin_organization,TRUE
Dcaf1,Dcaf1,Chromatin_organization,TRUE
Ddx21,Ddx21,Chromatin_organization,TRUE
Ddx23,Ddx23,Chromatin_organization,TRUE
Dek,Dek,Chromatin_organization,TRUE
Dicer1,Dicer1,Chromatin_organization,TRUE
Dmap1,Dmap1,Chromatin_organization,TRUE
Dnajc9,Dnajc9,Chromatin_organization,TRUE
Dnmt3l,Dnmt3l,Chromatin_organization,TRUE
Dpf1,Dpf1,Chromatin_organization,TRUE
Dpf2,Dpf2,Chromatin_organization,TRUE
Dpf3,Dpf3,Chromatin_organization,TRUE
Dppa3,Dppa3,Chromatin_organization,TRUE
Dpy30,Dpy30,Chromatin_organization,TRUE
Dtx3l,Dtx3l,Chromatin_organization,TRUE
Dyrk1a,Dyrk1a,Chromatin_organization,TRUE
Eif1,Eif1,Chromatin_organization,TRUE
Emsy,Emsy,Chromatin_organization,TRUE
Epc1,Epc1,Chromatin_organization,TRUE
Epc2,Epc2,Chromatin_organization,TRUE
Exosc10,Exosc10,Chromatin_organization,TRUE
Eya1,Eya1,Chromatin_organization,TRUE
Eya2,Eya2,Chromatin_organization,TRUE
Eya4,Eya4,Chromatin_organization,TRUE
Fam47c,Fam47c,Chromatin_organization,TRUE
Fam47e,Fam47e,Chromatin_organization,TRUE
Fam50a,Fam50a,Chromatin_organization,TRUE
Fam50b,Fam50b,Chromatin_organization,TRUE
Fam172a,Fam172a,Chromatin_organization,TRUE
Flicr,Flicr,Chromatin_organization,TRUE
Fshr,Fshr,Chromatin_organization,TRUE
Ftx,Ftx,Chromatin_organization,TRUE
Gatad1,Gatad1,Chromatin_organization,TRUE
Gatad2a,Gatad2a,Chromatin_organization,TRUE
Gatad2b,Gatad2b,Chromatin_organization,TRUE
Glmn,Glmn,Chromatin_organization,TRUE
Gnas,Gnas,Chromatin_organization,TRUE
Gpx1,Gpx1,Chromatin_organization,TRUE
Gpx4,Gpx4,Chromatin_organization,TRUE
Gsk3a,Gsk3a,Chromatin_organization,TRUE
Gsk3b,Gsk3b,Chromatin_organization,TRUE
H2al2a,H2al2a,Chromatin_organization,TRUE
H3f3c,H3f3c,Chromatin_organization,TRUE
H19,H19,Chromatin_organization,TRUE
Haspin,Haspin,Chromatin_organization,TRUE
Hcfc2,Hcfc2,Chromatin_organization,TRUE
Hjurp,Hjurp,Chromatin_organization,TRUE
Hltf,Hltf,Chromatin_organization,TRUE
Hmg20a,Hmg20a,Chromatin_organization,TRUE
Hmg20b,Hmg20b,Chromatin_organization,TRUE
Hotair,Hotair,Chromatin_organization,TRUE
Ifi203,Ifi203,Chromatin_organization,TRUE
Ifi205,Ifi205,Chromatin_organization,TRUE
Ifi208,Ifi208,Chromatin_organization,TRUE
Ifi209,Ifi209,Chromatin_organization,TRUE
Ifi211,Ifi211,Chromatin_organization,TRUE
Ifi213,Ifi213,Chromatin_organization,TRUE
Ifi214,Ifi214,Chromatin_organization,TRUE
Ing3,Ing3,Chromatin_organization,TRUE
Ing4,Ing4,Chromatin_organization,TRUE
Ino80,Ino80,Chromatin_organization,TRUE
Ino80b,Ino80b,Chromatin_organization,TRUE
Ino80c,Ino80c,Chromatin_organization,TRUE
Ino80d,Ino80d,Chromatin_organization,TRUE
Ino80e,Ino80e,Chromatin_organization,TRUE
Itgb3bp,Itgb3bp,Chromatin_organization,TRUE
Jak2,Jak2,Chromatin_organization,TRUE
Jpx,Jpx,Chromatin_organization,TRUE
Kansl1,Kansl1,Chromatin_organization,TRUE
Kansl2,Kansl2,Chromatin_organization,TRUE
Kansl3,Kansl3,Chromatin_organization,TRUE
Kcnq1,Kcnq1,Chromatin_organization,TRUE
Kmt2e,Kmt2e,Chromatin_organization,TRUE
Lamc1,Lamc1,Chromatin_organization,TRUE
Lin54,Lin54,Chromatin_organization,TRUE
Lmna,Lmna,Chromatin_organization,TRUE
Lmnb1,Lmnb1,Chromatin_organization,TRUE
Lmnb2,Lmnb2,Chromatin_organization,TRUE
Lmntd2,Lmntd2,Chromatin_organization,TRUE
Loxl2,Loxl2,Chromatin_organization,TRUE
Lrif1,Lrif1,Chromatin_organization,TRUE
Lsm11,Lsm11,Chromatin_organization,TRUE
M1ap,M1ap,Chromatin_organization,TRUE
Mcm2,Mcm2,Chromatin_organization,TRUE
Mcrs1,Mcrs1,Chromatin_organization,TRUE
Meaf6,Meaf6,Chromatin_organization,TRUE
Meg3,Meg3,Chromatin_organization,TRUE
Mettl3,Mettl3,Chromatin_organization,TRUE
Mettl4,Mettl4,Chromatin_organization,TRUE
