,gene_name,display_name,biotype,keep
679,Zfp560,Zfp560,TF,True
680,Alx1,Alx1,TF,True
681,Trp73,Trp73,TF,True
682,Bhlhe22,Bhlhe22,TF,True
683,Zfp426,Zfp426,TF,True
684,Crebl2,Crebl2,TF,True
685,Foxo4,Foxo4,TF,True
686,Stat3,Stat3,TF,True
687,Zfp266,Zfp266,TF,True
688,AW822073,AW822073,TF,True
689,Zfp846,Zfp846,TF,True
690,Duxf3,Duxf3,TF,True
691,Gm4981,Gm4981,TF,True
692,Maz,Maz,TF,True
693,Nkx6-3,Nkx6-3,TF,True
694,Nfatc4,Nfatc4,TF,True
695,5430403G16Rik,5430403G16Rik,TF,True
696,4930522L14Rik,4930522L14Rik,TF,True
697,Gfi1b,Gfi1b,TF,True
698,Gm15446,Gm15446,TF,True
699,Hmx1,Hmx1,TF,True
700,Zfp932,Zfp932,TF,True
701,Gli3,Gli3,TF,True
702,Gm17655,Gm17655,TF,True
703,Gm35315,Gm35315,TF,True
704,Tbx10,Tbx10,TF,True
705,Bhlhe23,Bhlhe23,TF,True
706,Zfp605,Zfp605,TF,True
707,Pou6f2,Pou6f2,TF,True
708,Hinfp,Hinfp,TF,True
709,Zfp607b,Zfp607b,TF,True
710,Nr1d2,Nr1d2,TF,True
711,Zfp626,Zfp626,TF,True
712,Thrb,Thrb,TF,True
713,Rarb,Rarb,TF,True
714,Zfp607a,Zfp607a,TF,True
715,Elk1,Elk1,TF,True
716,Crebrf,Crebrf,TF,True
717,Zfp974,Zfp974,TF,True
718,Zfp780b,Zfp780b,TF,True
719,Zfp850,Zfp850,TF,True
720,Nkx2-5,Nkx2-5,TF,True
721,Nr2f2,Nr2f2,TF,True
722,Rest,Rest,TF,True
723,Zfp300,Zfp300,TF,True
724,Hif3a,Hif3a,TF,True
725,Myf5,Myf5,TF,True
726,Myf6,Myf6,TF,True
727,Hsfy2,Hsfy2,TF,True
728,Zfp553,Zfp553,TF,True
729,Zfp771,Zfp771,TF,True
730,Tfdp2,Tfdp2,TF,True
731,Barhl1,Barhl1,TF,True
732,Ebf1,Ebf1,TF,True
733,Irx3,Irx3,TF,True
734,Satb2,Satb2,TF,True
735,Zfp683,Zfp683,TF,True
736,Dmbx1,Dmbx1,TF,True
737,Irx5,Irx5,TF,True
738,Irx6,Irx6,TF,True
